"Category","Key","Url","File"
"HeroBackgrounds","heroes_backgrounds_vindicta_bg_png","https://assets-bucket.deadlock-api.com/assets-api-res/images/heroes/backgrounds/vindicta_bg.png","C:\APP\programs\shixi\deadlock-banpick\assets\UiDownloads\HeroBackgrounds\heroes_backgrounds_vindicta_bg_png.png"
"HeroBackgrounds","heroes_backgrounds_werewolf_bg_webp","https://assets-bucket.deadlock-api.com/assets-api-res/images/heroes/backgrounds/werewolf_bg.webp","C:\APP\programs\shixi\deadlock-banpick\assets\UiDownloads\HeroBackgrounds\heroes_backgrounds_werewolf_bg_webp.webp"
"HeroBackgrounds","heroes_backgrounds_mirage_bg_png","https://assets-bucket.deadlock-api.com/assets-api-res/images/heroes/backgrounds/mirage_bg.png","C:\APP\programs\shixi\deadlock-banpick\assets\UiDownloads\HeroBackgrounds\heroes_backgrounds_mirage_bg_png.png"
"HeroBackgrounds","heroes_backgrounds_magician_bg_webp","https://assets-bucket.deadlock-api.com/assets-api-res/images/heroes/backgrounds/magician_bg.webp","C:\APP\programs\shixi\deadlock-banpick\assets\UiDownloads\HeroBackgrounds\heroes_backgrounds_magician_bg_webp.webp"
"HeroBackgrounds","heroes_backgrounds_vyper_bg_png","https://assets-bucket.deadlock-api.com/assets-api-res/images/heroes/backgrounds/vyper_bg.png","C:\APP\programs\shixi\deadlock-banpick\assets\UiDownloads\HeroBackgrounds\heroes_backgrounds_vyper_bg_png.png"
"HeroBackgrounds","heroes_backgrounds_magician_bg_png","https://assets-bucket.deadlock-api.com/assets-api-res/images/heroes/backgrounds/magician_bg.png","C:\APP\programs\shixi\deadlock-banpick\assets\UiDownloads\HeroBackgrounds\heroes_backgrounds_magician_bg_png.png"
"HeroBackgrounds","heroes_backgrounds_geist_bg_png","https://assets-bucket.deadlock-api.com/assets-api-res/images/heroes/backgrounds/geist_bg.png","C:\APP\programs\shixi\deadlock-banpick\assets\UiDownloads\HeroBackgrounds\heroes_backgrounds_geist_bg_png.png"
"HeroBackgrounds","heroes_backgrounds_shiv_bg_png","https://assets-bucket.deadlock-api.com/assets-api-res/images/heroes/backgrounds/shiv_bg.png","C:\APP\programs\shixi\deadlock-banpick\assets\UiDownloads\HeroBackgrounds\heroes_backgrounds_shiv_bg_png.png"
"HeroBackgrounds","heroes_backgrounds_yamato_bg_png","https://assets-bucket.deadlock-api.com/assets-api-res/images/heroes/backgrounds/yamato_bg.png","C:\APP\programs\shixi\deadlock-banpick\assets\UiDownloads\HeroBackgrounds\heroes_backgrounds_yamato_bg_png.png"
"HeroBackgrounds","heroes_backgrounds_vyper_bg_webp","https://assets-bucket.deadlock-api.com/assets-api-res/images/heroes/backgrounds/vyper_bg.webp","C:\APP\programs\shixi\deadlock-banpick\assets\UiDownloads\HeroBackgrounds\heroes_backgrounds_vyper_bg_webp.webp"
"HeroBackgrounds","heroes_backgrounds_shiv_bg_webp","https://assets-bucket.deadlock-api.com/assets-api-res/images/heroes/backgrounds/shiv_bg.webp","C:\APP\programs\shixi\deadlock-banpick\assets\UiDownloads\HeroBackgrounds\heroes_backgrounds_shiv_bg_webp.webp"
"HeroBackgrounds","heroes_backgrounds_calico_bg_png","https://assets-bucket.deadlock-api.com/assets-api-res/images/heroes/backgrounds/calico_bg.png","C:\APP\programs\shixi\deadlock-banpick\assets\UiDownloads\HeroBackgrounds\heroes_backgrounds_calico_bg_png.png"
"HeroBackgrounds","heroes_backgrounds_priest_bg_png","https://assets-bucket.deadlock-api.com/assets-api-res/images/heroes/backgrounds/priest_bg.png","C:\APP\programs\shixi\deadlock-banpick\assets\UiDownloads\HeroBackgrounds\heroes_backgrounds_priest_bg_png.png"
"HeroBackgrounds","heroes_backgrounds_kelvin_bg_png","https://assets-bucket.deadlock-api.com/assets-api-res/images/heroes/backgrounds/kelvin_bg.png","C:\APP\programs\shixi\deadlock-banpick\assets\UiDownloads\HeroBackgrounds\heroes_backgrounds_kelvin_bg_png.png"
"HeroBackgrounds","heroes_backgrounds_dynamo_bg_png","https://assets-bucket.deadlock-api.com/assets-api-res/images/heroes/backgrounds/dynamo_bg.png","C:\APP\programs\shixi\deadlock-banpick\assets\UiDownloads\HeroBackgrounds\heroes_backgrounds_dynamo_bg_png.png"
"HeroBackgrounds","heroes_backgrounds_mirage_bg_webp","https://assets-bucket.deadlock-api.com/assets-api-res/images/heroes/backgrounds/mirage_bg.webp","C:\APP\programs\shixi\deadlock-banpick\assets\UiDownloads\HeroBackgrounds\heroes_backgrounds_mirage_bg_webp.webp"
"HeroBackgrounds","heroes_backgrounds_yamato_bg_webp","https://assets-bucket.deadlock-api.com/assets-api-res/images/heroes/backgrounds/yamato_bg.webp","C:\APP\programs\shixi\deadlock-banpick\assets\UiDownloads\HeroBackgrounds\heroes_backgrounds_yamato_bg_webp.webp"
"HeroBackgrounds","heroes_backgrounds_infernus_bg_webp","https://assets-bucket.deadlock-api.com/assets-api-res/images/heroes/backgrounds/infernus_bg.webp","C:\APP\programs\shixi\deadlock-banpick\assets\UiDownloads\HeroBackgrounds\heroes_backgrounds_infernus_bg_webp.webp"
"HeroBackgrounds","heroes_backgrounds_seven_bg_webp","https://assets-bucket.deadlock-api.com/assets-api-res/images/heroes/backgrounds/seven_bg.webp","C:\APP\programs\shixi\deadlock-banpick\assets\UiDownloads\HeroBackgrounds\heroes_backgrounds_seven_bg_webp.webp"
"HeroBackgrounds","heroes_backgrounds_dynamo_bg_webp","https://assets-bucket.deadlock-api.com/assets-api-res/images/heroes/backgrounds/dynamo_bg.webp","C:\APP\programs\shixi\deadlock-banpick\assets\UiDownloads\HeroBackgrounds\heroes_backgrounds_dynamo_bg_webp.webp"
"HeroBackgrounds","heroes_backgrounds_familiar_bg_png","https://assets-bucket.deadlock-api.com/assets-api-res/images/heroes/backgrounds/familiar_bg.png","C:\APP\programs\shixi\deadlock-banpick\assets\UiDownloads\HeroBackgrounds\heroes_backgrounds_familiar_bg_png.png"
"HeroBackgrounds","heroes_backgrounds_mcginnis_bg_webp","https://assets-bucket.deadlock-api.com/assets-api-res/images/heroes/backgrounds/mcginnis_bg.webp","C:\APP\programs\shixi\deadlock-banpick\assets\UiDownloads\HeroBackgrounds\heroes_backgrounds_mcginnis_bg_webp.webp"
"HeroBackgrounds","heroes_backgrounds_viscous_bg_webp","https://assets-bucket.deadlock-api.com/assets-api-res/images/heroes/backgrounds/viscous_bg.webp","C:\APP\programs\shixi\deadlock-banpick\assets\UiDownloads\HeroBackgrounds\heroes_backgrounds_viscous_bg_webp.webp"
"HeroBackgrounds","heroes_backgrounds_billy_bg_webp","https://assets-bucket.deadlock-api.com/assets-api-res/images/heroes/backgrounds/billy_bg.webp","C:\APP\programs\shixi\deadlock-banpick\assets\UiDownloads\HeroBackgrounds\heroes_backgrounds_billy_bg_webp.webp"
